Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
World,18433.92,18198.52,18092.31,18241.50,19106.25,19542.06,19941.88,20493.15,21170.48,21471.48,21615.99,21505.09,21421.45,21631.23,21798.41,22150.06,22652.46,23072.86,23007.82,23319.69,23803.63,23949.92,24681.01,25891.86,27517.97,28366.15,28939.22,29784.38,30493.23,30398.42
Asia & Oceania,3541.47,3599.40,3657.11,3774.42,4094.74,4277.98,4411.17,4620.17,4957.30,5107.43,5262.88,5485.04,5676.26,5998.03,6375.42,6637.79,6772.08,7117.77,6960.28,7114.33,7226.09,7416.29,8012.31,8765.61,9988.20,10546.09,11012.64,11657.88,12338.41,13264.09
China,1448.46,1439.86,1506.94,1593.39,1724.49,1857.81,1970.82,2102.78,2240.37,2275.34,2269.71,2369.25,2449.16,2626.64,2831.55,2861.68,2893.38,3081.74,2967.26,2885.72,2849.75,2969.58,3464.84,4069.24,5089.78,5512.70,5817.14,6260.03,6803.92,7710.50
United States,4776.57,4646.85,4410.83,4388.02,4618.83,4604.84,4612.97,4769.96,4989.55,5069.96,5041.00,4997.69,5093.53,5188.87,5261.43,5319.89,5506.37,5578.43,5617.03,5677.10,5861.82,5753.70,5801.17,5850.63,5968.49,5991.47,5913.68,6018.13,5833.13,5424.53
India,291.23,337.78,349.74,367.40,421.91,447.38,473.74,486.59,522.28,553.48,578.62,620.85,659.37,690.76,733.91,870.23,827.81,870.04,906.33,962.30,1002.95,1025.68,1015.84,1032.07,1125.84,1183.28,1282.68,1378.29,1473.73,1602.12
Russia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020.19,1863.34,1688.83,1603.06,1582.01,1456.39,1461.65,1535.52,1556.10,1522.91,1545.72,1600.52,1639.41,1652.69,1675.47,1652.74,1698.38,1572.07
Central & South America,627.37,620.21,612.19,594.58,621.15,624.63,670.39,687.49,697.46,715.91,716.33,738.43,743.59,783.85,812.03,857.61,903.17,949.12,974.45,982.90,991.80,1013.99,1005.76,1021.13,1064.40,1104.02,1149.07,1146.05,1228.65,1219.78
Japan,947.01,945.01,899.79,867.13,935.74,926.25,877.53,890.40,959.77,989.37,1046.98,1066.42,1073.47,1064.34,1118.44,1116.24,1134.96,1157.75,1113.11,1156.38,1201.43,1193.69,1199.95,1249.72,1256.26,1241.26,1239.89,1254.44,1215.48,1097.96
Germany,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,928.95,895.05,892.94,875.34,890.82,890.30,887.69,869.90,838.88,854.66,877.98,855.33,871.93,867.47,847.36,850.62,827.23,823.07,765.56
Canada,457.45,442.09,423.27,410.64,433.62,443.67,427.82,445.23,478.05,492.57,470.59,465.79,484.98,485.46,495.32,508.74,519.99,544.91,549.30,566.38,573.27,561.88,567.56,597.02,611.58,623.43,597.23,610.00,598.46,540.97
"Korea, South",131.74,137.90,138.95,148.49,163.62,172.32,180.30,185.69,207.81,219.51,242.13,269.67,293.46,330.64,351.42,381.43,396.90,426.26,380.75,423.58,438.83,449.99,466.90,476.63,485.91,493.80,484.21,503.10,521.77,528.13
Iran,116.83,108.10,133.66,155.98,151.04,159.94,165.40,174.20,180.71,195.33,202.11,226.53,234.74,238.28,250.80,262.20,262.94,290.70,294.60,317.23,320.62,334.19,365.00,386.85,406.58,449.22,475.85,487.93,510.61,527.18
United Kingdom,613.57,599.33,571.94,577.65,564.16,589.26,595.24,606.73,599.40,612.11,601.82,609.98,577.03,582.62,572.24,560.13,588.85,566.80,561.81,556.89,560.34,572.70,561.68,572.58,583.42,583.06,585.50,569.89,563.88,519.94
Saudi Arabia,176.92,175.22,165.57,166.32,184.01,179.22,190.09,191.15,200.25,198.88,208.02,226.46,235.46,232.93,239.93,235.29,250.08,255.12,258.18,264.04,290.54,301.34,311.62,347.26,388.76,405.54,406.14,424.40,455.62,470.00
South Africa,235.03,254.70,272.94,276.58,296.47,302.05,308.73,315.23,319.55,297.99,297.98,310.37,320.19,318.99,347.17,347.47,352.28,383.80,365.33,376.65,386.01,392.72,379.98,412.73,442.20,432.53,444.60,462.90,482.88,450.44
Mexico,240.33,266.51,282.14,260.79,279.14,280.70,267.49,277.68,276.85,290.77,302.16,309.80,313.35,316.83,336.39,321.37,332.66,349.40,371.31,363.38,383.05,379.85,384.73,389.79,378.03,397.81,436.95,444.26,452.05,443.61
Brazil,185.66,175.22,172.75,163.80,180.87,192.66,212.67,219.16,221.46,226.76,237.33,245.69,237.40,257.97,269.08,289.09,306.68,325.45,324.11,335.71,344.36,348.53,346.62,345.80,355.73,369.74,383.14,365.22,421.60,420.16
Australia,198.83,204.62,207.96,218.26,235.42,237.70,234.55,250.93,246.23,261.51,267.60,268.32,274.87,283.29,281.62,289.07,302.31,331.30,337.45,355.34,356.31,370.06,374.59,376.08,387.86,397.22,400.86,410.35,425.34,417.68
